city_name,state_name,state_code,age_median,popul_male,popul_female,household_size_ave,popul_total,share_female,popul_density,lat,lng
Syracuse,New York,NY,30.3,347310,373450,2.39,720760,0.52,1412.28,43.052495,-76.15308625
Tacoma,Washington,WA,37.7,504570,535180,2.48,1039750,0.51,1833.56,47.216158,-122.45749
Tallahassee,Florida,FL,26.2,446950,502520,2.38,949470,0.53,384.05,30.46085454545454,-84.25902636363637
Tampa,Florida,FL,35.3,877585,967555,2.47,1845140,0.52,1529.56,27.99843851851852,-82.4807914814815
Temecula,California,CA,34.2,272035,288095,3.34,560130,0.51,450.03,33.51033,-117.11944333333334
Tempe,Arizona,AZ,28.8,456750,422380,2.44,879130,0.48,1776.32,33.3810175,-111.9323375
Temple,Texas,TX,33.6,167560,193925,2.59,361485,0.54,174.82,31.096729999999997,-97.35039749999999
The Woodlands,Texas,TX,38.8,280415,315305,2.93,595720,0.53,,,
Thornton,Colorado,CO,33.1,327410,339885,2.97,667295,0.51,1966.1,39.92873,-104.95508
Thousand Oaks,California,CA,44.8,325565,321080,2.79,646645,0.5,935.85,34.203035,-118.850415
Toledo,Ohio,OH,36.1,677275,721615,2.29,1398890,0.52,1318.51,41.66742466666667,-83.58759733333335
Toms River,New Jersey,NJ,43.7,219320,219430,2.71,438750,0.5,730.67,39.97825666666667,-74.21210333333333
Topeka,Kansas,KS,37.1,304395,331890,2.32,636285,0.52,517.36,39.04043222222222,-95.71081666666666
Torrance,California,CA,41.2,366045,376295,2.7,742340,0.51,2426.52,33.844955,-118.32838166666666
Town 'n' Country,Florida,FL,38.1,197050,197930,2.61,394980,0.5,,,
Tracy,California,CA,35.5,215780,219685,3.4200000000000004,435465,0.5,823.1,37.7088225,-121.48352
Trenton,New Jersey,NJ,33.3,212905,208250,3.04,421155,0.49,2153.75,40.223245454545456,-74.73451545454546
Troy,Michigan,MI,43.3,211855,204525,2.59,416380,0.49,970.25,42.579350000000005,-83.1478175
Tucson,Arizona,AZ,33.6,1324465,1333905,2.45,2658370,0.5,685.84,32.23594428571428,-110.9596354285714
Tulsa,Oklahoma,OK,35.0,987185,1028270,2.37,2015455,0.51,886.24,36.13525857142857,-95.93568571428571
Turlock,California,CA,36.2,165950,195515,2.76,361465,0.54,820.15,37.500185,-120.86086
Tuscaloosa,Alabama,AL,29.1,236465,255225,2.67,491690,0.52,318.02,33.208845,-87.52823999999998
Tustin,California,CA,33.4,197555,205260,3.2700000000000005,402815,0.51,2967.95,33.73686,-117.801935
Tyler,Texas,TX,33.9,252110,266415,2.59,518525,0.51,263.07,32.35499444444445,-95.28531555555554
Union City,California,CA,38.5,192995,179555,3.46,372550,0.48,1462.9,37.60315,-122.01865
Union City,New Jersey,NJ,35.4,176880,168865,2.85,345745,0.49,20359.6,40.76736,-74.03227
Upland,California,CA,39.7,181130,201105,2.77,382235,0.53,1710.85,34.123149999999995,-117.66009
Urban Honolulu,Hawaii,HI,41.4,884035,879795,2.69,1763830,0.5,,,
Vacaville,California,CA,35.8,250455,233515,2.9,483970,0.48,395.0,38.37303,-121.97153
Vallejo,California,CA,37.8,291895,314450,2.83,606345,0.52,1137.47,38.12072,-122.23859499999999
Vancouver,Washington,WA,37.2,414790,449475,2.49,864265,0.52,1217.52,45.665110909090906,-122.60514636363636
Victoria,Texas,TX,35.8,129160,141164,2.7,270324,0.52,314.63,28.819869999999998,-97.01511
Victorville,California,CA,30.6,304945,306235,3.47,611180,0.5,690.1,34.512706666666666,-117.35180666666668
Virginia Beach,Virginia,VA,35.4,1113420,1150305,2.61,2263725,0.51,1424.67,36.809326666666664,-76.06189666666667
Visalia,California,CA,32.6,318475,331995,3.11,650470,0.51,308.13,36.35532333333333,-119.32453
Vista,California,CA,29.3,202720,200816,3.52,403536,0.5,1596.7,33.194786666666666,-117.23129999999999
Waco,Texas,TX,29.3,317260,344450,2.57,661710,0.52,2581.31,31.55600222222222,-97.14332777777777
Waldorf,Maryland,MD,33.6,178200,199360,2.69,377560,0.53,560.8,38.60901666666667,-76.90737
Walnut Creek,California,CA,47.6,127976,147648,2.22,275624,0.54,1423.58,37.89510249999999,-122.04472
Warner Robins,Georgia,GA,31.4,175465,194545,2.5,370010,0.53,437.23,32.616203333333324,-83.62626666666667
Warren,Michigan,MI,43.2,320315,356465,2.45,676780,0.53,1306.68,42.496195,-83.02527166666667
Warwick,Rhode Island,RI,42.6,157156,169636,2.4,326792,0.52,1065.3,41.72001,-71.42032999999999
Washington,District of Columbia,DC,33.8,1598525,1762615,2.24,3361140,0.52,3541.0,38.9015331372549,-77.02665784313726
Waterbury,Connecticut,CT,36.2,261175,282860,2.71,544035,0.52,1950.17,41.557271666666665,-73.03467833333333
Waterloo,Iowa,IA,37.2,172440,169845,2.42,342285,0.5,339.93,42.47393333333333,-92.31143333333334
Waukegan,Illinois,IL,32.3,227570,214165,2.92,441735,0.48,1288.65,42.378385,-87.86102500000001
Waukesha,Wisconsin,WI,35.8,181315,178565,2.35,359880,0.5,578.1,42.999583333333334,-88.25890666666665
West Covina,California,CA,39.8,258145,284300,3.56,542445,0.52,2653.2,34.05142,-117.91055666666666
West Jordan,Utah,UT,30.8,289490,270220,3.46,559710,0.48,1581.47,40.60695666666666,-111.98773333333332
West Palm Beach,Florida,FL,39.6,246310,287600,2.53,533910,0.54,1493.62,26.72332333333333,-80.11379833333334
West Valley City,Utah,UT,30.7,341175,339945,3.81,681120,0.5,1577.57,40.69982666666667,-111.99801333333335
Westland,Michigan,MI,39.9,188710,221265,2.41,409975,0.54,1554.85,42.31526,-83.37957499999999
Westminster,California,CA,42.9,227690,232865,3.2700000000000005,460555,0.51,3516.2,33.75252,-117.99406
Westminster,Colorado,CO,37.8,274330,291255,2.63,565585,0.51,1978.3,39.852959999999996,-105.03878
Weston,Florida,FL,38.6,164780,184955,3.34,349735,0.53,,,
Whittier,California,CA,36.1,221985,215195,3.11,437180,0.49,2717.0,33.96389333333334,-118.02457833333334
Wichita,Kansas,KS,34.6,961770,988005,2.56,1949775,0.51,675.4,37.69225925925926,-97.32725074074072
Wichita Falls,Texas,TX,34.0,278875,244670,2.41,523545,0.47,475.26,33.89439857142857,-98.49778714285715
Wilmington,Delaware,DE,36.4,163400,196385,2.45,359785,0.55,1438.73,39.762359,-75.567373
Wilmington,North Carolina,NC,35.5,261730,318005,2.24,579735,0.55,613.02,34.22497833333333,-77.88060499999999
Winston-Salem,North Carolina,NC,34.7,562600,643560,2.47,1206160,0.53,,,
Woodbury,Minnesota,MN,37.7,127928,143472,2.72,271400,0.53,,,
Worcester,Massachusetts,MA,34.9,454755,469275,2.43,924030,0.51,2200.3,42.26602999999999,-71.80818777777777
Wyoming,Michigan,MI,32.8,179835,196550,2.65,376385,0.52,1452.5,42.897735,-85.70580000000001
Yakima,Washington,WA,34.0,225735,242765,2.74,468500,0.52,560.55,46.6113275,-120.67129249999999
Yonkers,New York,NY,38.0,482900,522690,2.8,1005590,0.52,4836.8,40.942122,-73.87186
Yorba Linda,California,CA,45.5,159800,180030,3.0,339830,0.53,1070.0,33.890585,-117.7642
Youngs,Ohio,OH,37.5,153790,169255,2.22,323045,0.52,,,
Yuba City,California,CA,34.5,168270,166450,2.9,334720,0.5,277.55,39.052165,-121.650655
Yuma,Arizona,AZ,33.4,241490,229235,2.64,470725,0.49,312.2,32.81793,-114.40160666666667
