city_name,state_name,state_code,age_median,popul_male,popul_female,household_size_ave,popul_total,share_female,popul_density,lat,lng
Carmel,Indiana,IN,39.9,171712,184404,2.71,356116,0.52,823.5,39.97235,-86.12826000000001
Carmichael,California,CA,41.0,146405,169670,2.39,316075,0.54,1855.9,38.62583,-121.32829
Carolina,Puerto Rico,PR,42.0,129516,154616,,284132,0.54,2804.54,18.402411999999998,-65.97531
Carrollton,Texas,TX,36.9,334640,331090,2.78,665730,0.5,1487.6,33.00025,-96.89696333333332
Carson,California,CA,40.4,218950,247530,3.7,466480,0.53,1479.4,33.8477,-118.25699333333334
Cary,North Carolina,NC,39.9,394660,407910,2.61,802570,0.51,1011.12,35.77559,-78.8118625
Casas Adobes,Arizona,AZ,44.8,154450,171875,2.24,326325,0.53,,,
Cedar Park,Texas,TX,34.4,156240,167945,3.05,324185,0.52,1123.8,30.50395,-97.82462
Cedar Rapids,Iowa,IA,36.2,315545,336480,2.32,652025,0.52,552.7,41.98817666666667,-91.67776833333333
Centennial,Colorado,CO,42.4,266110,282520,2.66,548630,0.51,,,
Centreville,Virginia,VA,36.0,173745,185165,2.97,358910,0.52,1119.95,38.836,-77.46871999999999
Champaign,Illinois,IL,28.7,173304,171040,2.25,344344,0.5,1320.97,40.11809,-88.2746
Chandler,Arizona,AZ,35.6,644425,659740,2.78,1304165,0.51,1123.95,33.26909833333333,-111.86902500000001
Charleston,South Carolina,SC,35.0,319780,357840,2.4,677620,0.53,3075.57,32.833798,-79.980128
Charlotte,North Carolina,NC,34.3,1983230,2152375,2.52,4135605,0.52,1031.85,35.20582518518519,-80.82953888888889
Chattanooga,Tennessee,TN,36.6,418200,464785,2.4,882985,0.53,667.45,35.044866666666664,-85.28427733333334
Cheektowaga,New York,NY,40.7,149904,154396,2.3,304300,0.51,,,
Chesapeake,Virginia,VA,36.7,574820,602325,2.73,1177145,0.51,760.27,36.745855,-76.295945
Chicago,Illinois,IL,34.2,6600075,7002705,2.53,13602780,0.51,6328.83,41.86771874999999,-87.6744219642857
Chico,California,CA,29.9,230840,220840,2.5,451680,0.49,722.4,39.77559,-121.84555999999999
Chino,California,CA,36.5,254945,173050,3.62,427995,0.4,904.4,33.97922,-117.662565
Chino Hills,California,CA,41.9,198195,193370,3.05,391565,0.49,911.5,33.96432,-117.73599
Chula Vista,California,CA,34.6,657425,671345,3.3199999999999994,1328770,0.51,1986.6,32.630683999999995,-117.000016
Cicero,Illinois,IL,28.5,215765,203570,3.8899999999999997,419335,0.49,4155.8,41.83783,-87.76014
Cincinnati,Ohio,OH,32.7,718270,774415,2.08,1492685,0.52,1226.52,39.17198377777779,-84.48837555555556
Citrus Heights,California,CA,37.8,209910,225355,2.49,435265,0.52,2327.7,38.695335,-121.290025
Clarksville,Tennessee,TN,29.7,375145,370805,2.64,745950,0.5,292.8,36.52938333333333,-87.32759
Clearwater,Florida,FL,47.0,276125,288770,2.4,564895,0.51,1484.79,27.96136,-82.73717111111111
Cleveland,Ohio,OH,36.0,932180,1008115,2.24,1940295,0.52,1855.7,41.47834310344828,-81.6481679310345
Clifton,New Jersey,NJ,38.5,209660,222045,3.11,431705,0.51,2701.95,40.85663,-74.15321999999999
Clovis,California,CA,37.8,261960,258900,2.76,520860,0.5,1286.37,36.85191,-119.65662999999999
