city_name,airport_name,iata_code,airport_size,count_passenger,I94_port_code,state_name,elevation_ft,iso_country,iso_region,municipality,gps_code,lat,lng
Philadelphia,Philadelphia International Airport,PHL,Large,31691956,PHI,PA,36,US,US-PA,Philadelphia,KPHL,-75.24109649658203,39.87189865112305
Phoenix,Phoenix Sky Harbor International Airport,PHX,Large,44943686,PHO,AZ,1135,US,US-AZ,Phoenix,KPHX,-112.01200103759766,33.43429946899414
Pittsburgh,Pittsburgh International Airport,PIT,Medium,9658897,PNH,NH,1203,US,US-PA,Pittsburgh,KPIT,-80.23290253,40.49150085
Portland,Portland International Jetport,PWM,Small,2134430,POM,ME,76,US,US-ME,Portland,KPWM,-70.30930328,43.64619827
Portland,Portland International Jetport,PWM,Small,2134430,POO,OR,76,US,US-ME,Portland,KPWM,-70.30930328,43.64619827
Portland,Portland International Airport,PDX,Large,19882788,POM,ME,31,US,US-OR,Portland,KPDX,-122.5979996,45.58869934
Portland,Portland International Airport,PDX,Large,19882788,POO,OR,31,US,US-OR,Portland,KPDX,-122.5979996,45.58869934
Providence,T.F. Green Airport,PVD,Medium,4298345,PRO,RI,55,US,US-RI,Providence,KPVD,-71.42040252685547,41.732601165771484
Raleigh/Durham,Raleigh-Durham International Airport,RDU,Medium,12801697,RDU,NC,435,US,US-NC,Raleigh/Durham,KRDU,-78.7874984741211,35.877601623535156
Reno,Reno-Tahoe International Airport,RNO,Medium,4210095,REN,NV,4415,US,US-NV,Reno,KRNO,-119.76799774169922,39.49909973144531
Rochester,Greater Rochester International Airport,ROC,Small,2557038,RST,MN,559,US,US-NY,Rochester,KROC,-77.67240142822266,43.118900299072266
Rochester,Greater Rochester International Airport,ROC,Small,2557038,ROC,NY,559,US,US-NY,Rochester,KROC,-77.67240142822266,43.118900299072266
Sacramento,Sacramento International Airport,SMF,Medium,12050763,SAC,CA,27,US,US-CA,Sacramento,KSMF,-121.59100341796875,38.69540023803711
Salt Lake City,Salt Lake City International Airport,SLC,Large,25554244,SLC,UT,4227,US,US-UT,Salt Lake City,KSLC,-111.97799682617188,40.78839874267578
San Antonio,San Antonio International Airport,SAT,Medium,10044411,SNA,TX,809,US,US-TX,San Antonio,KSAT,-98.46980285644531,29.533700942993164
San Diego,San Diego International Airport,SAN,Large,24238300,SDP,CA,17,US,US-CA,San Diego,KSAN,-117.190002441,32.7336006165
Richmond,Richmond International Airport,RIC,Medium,4077763,RCM,VA,167,US,US-VA,Richmond,KRIC,-77.3197021484375,37.50519943237305
San Francisco,San Francisco International Airport,SFO,Large,57793313,SFR,CA,13,US,US-CA,San Francisco,KSFO,-122.375,37.61899948120117
San Jose,San Jose International Airport,SJC,Medium,14319292,SNJ,CA,62,US,US-CA,San Jose,KSJC,-121.929001,37.362598
Sarasota/Bradenton,Sarasota-Bradenton International Airport,SRQ,Small,1371888,SRQ,FL,30,US,US-FL,Sarasota/Bradenton,KSRQ,-82.55439758300781,27.39539909362793
Savannah,Savannah/Hilton Head International Airport,SAV,Small,2709094,SAV,GA,50,US,US-GA,Savannah,KSAV,-81.20210266,32.12760162
Seattle,Seattle-Tacoma International Airport,SEA,Large,49849520,SEA,WA,433,US,US-WA,Seattle,KSEA,-122.308998,47.449001
Spokane,Spokane International Airport,GEG,Medium,3998272,SPO,WA,2376,US,US-WA,Spokane,KGEG,-117.53399658203125,47.61989974975586
St Louis,St. Louis Lambert International Airport,STL,Medium,15800586,STL,MO,618,US,US-MO,St Louis,KSTL,-90.370003,38.748697
Syracuse,Syracuse Hancock International Airport,SYR,Small,2315933,SYR,NY,421,US,US-NY,Syracuse,KSYR,-76.1063003540039,43.11119842529297
Tampa,Tampa International Airport,TPA,Large,21289390,TAM,FL,26,US,US-FL,Tampa,KTPA,-82.533203125,27.975500106811523
Washington,Ronald Reagan Washington National Airport**,DCA,Large,22695582,WAS,DC,15,US,US-DC,Washington,KDCA,-77.037697,38.8521
Washington,Ronald Reagan Washington National Airport**,DCA,Large,22695582,WAS,DC,15,US,US-DC,Washington,KDCA,-77.037697,38.8521
Washington,Washington Dulles International Airport,IAD,Large,24060709,WAS,DC,312,US,US-DC,Washington,KIAD,-77.45580292,38.94449997
Washington,Washington Dulles International Airport,IAD,Large,24060709,WAS,DC,312,US,US-DC,Washington,KIAD,-77.45580292,38.94449997
West Palm Beach,Palm Beach International Airport,PBI,Medium,6513943,WPB,FL,19,US,US-FL,West Palm Beach,KPBI,-80.09559631347656,26.68320083618164
Wilmington,Wilmington International Airport,ILM,Small,934058,WLL,DE,32,US,US-NC,Wilmington,KILM,-77.90260314941406,34.270599365234375
Wilmington,Wilmington International Airport,ILM,Small,934058,WIL,NC,32,US,US-NC,Wilmington,KILM,-77.90260314941406,34.270599365234375
